title,rank,score,popularity,members,aired_from
葬送のフリーレン,1,9.31,163,1031736,2023-09-29T00:00:00+00:00
鋼の錬金術師 FULLMETAL ALCHEMIST,2,9.1,3,3481189,2009-04-05T00:00:00+00:00
STEINS;GATE,3,9.07,14,2666227,2011-04-06T00:00:00+00:00
ONE PIECE FAN LETTER,4,9.06,2364,90238,2024-10-20T00:00:00+00:00
進撃の巨人 Season3 Part.2,5,9.05,21,2405807,2019-04-29T00:00:00+00:00
銀魂°,6,9.05,344,656332,2015-04-08T00:00:00+00:00
銀魂 THE FINAL,7,9.04,1538,163253,2021-01-08T00:00:00+00:00
HUNTER×HUNTER（ハンター×ハンター）,8,9.03,8,2979225,2011-10-02T00:00:00+00:00
銀魂',9,9.02,400,580010,2011-04-04T00:00:00+00:00
銀魂' 延長戦,10,9.02,759,337961,2012-10-04T00:00:00+00:00
銀河英雄伝説,11,9.01,761,337422,1988-01-08T00:00:00+00:00
BLEACH 千年血戦篇,12,9.0,375,615099,2022-10-11T00:00:00+00:00
かぐや様は告らせたい-ウルトラロマンティック-,13,8.99,168,1007763,2022-04-09T00:00:00+00:00
銀魂。,14,8.98,785,327942,2017-01-09T00:00:00+00:00
フルーツバスケット The Final,15,8.96,460,514703,2021-04-06T00:00:00+00:00
CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,16,8.93,120,1230601,2008-10-03T00:00:00+00:00
銀魂,17,8.93,145,1102948,2006-04-04T00:00:00+00:00
聲の形,18,8.93,20,2445882,2016-09-17T00:00:00+00:00
3月のライオン 第2シリーズ,19,8.91,589,416800,2017-10-14T00:00:00+00:00
コードギアス 反逆のルルーシュ R2,20,8.91,47,1850853,2008-04-06T00:00:00+00:00
劇場版 銀魂 完結篇 万事屋よ永遠なれ,21,8.9,1037,248845,2013-07-06T00:00:00+00:00
薬屋のひとりごと,23,8.88,422,562807,2023-10-22T00:00:00+00:00
銀魂. 銀ノ魂篇 後半戦,22,8.88,1232,209254,2018-07-09T00:00:00+00:00
モンスター,24,8.88,124,1206616,2004-04-07T00:00:00+00:00
進撃の巨人 The Final Season完結編,25,8.87,291,741290,2023-03-04T00:00:00+00:00
